Tool;View;ChangeSet;RunIndex;Iteration;PhaseName;MetricName;MetricValue
NMF;Q1;2;0;20;Update;Memory;83349504
NMF;Q1;2;0;20;Update;Elements;167197|404236|723178
NMF;Q1;2;1;0;Initialization;Time;407642400
NMF;Q1;2;1;0;Initialization;Memory;74317824
NMF;Q1;2;1;0;Load;Time;92245300
NMF;Q1;2;1;0;Load;Memory;81920000
NMF;Q1;2;1;0;Initial;Time;18695000
NMF;Q1;2;1;0;Initial;Memory;82182144
NMF;Q1;2;1;0;Initial;Elements;167197|723178|404286
NMF;Q1;2;1;1;Update;Time;6182400
NMF;Q1;2;1;1;Update;Memory;82534400
NMF;Q1;2;1;1;Update;Elements;167197|723178|404286
NMF;Q1;2;1;2;Update;Time;3063900
NMF;Q1;2;1;2;Update;Memory;82534400
NMF;Q1;2;1;2;Update;Elements;167197|723178|404286
NMF;Q1;2;1;3;Update;Time;2961600
NMF;Q1;2;1;3;Update;Memory;82534400
NMF;Q1;2;1;3;Update;Elements;167197|723178|404286
NMF;Q1;2;1;4;Update;Time;2818800
NMF;Q1;2;1;4;Update;Memory;82534400
NMF;Q1;2;1;4;Update;Elements;404236|167197|723178
NMF;Q1;2;1;5;Update;Time;6414200
NMF;Q1;2;1;5;Update;Memory;82796544
NMF;Q1;2;1;5;Update;Elements;404236|167197|723178
NMF;Q1;2;1;6;Update;Time;3356500
NMF;Q1;2;1;6;Update;Memory;82796544
NMF;Q1;2;1;6;Update;Elements;404236|167197|723178
NMF;Q1;2;1;7;Update;Time;2717700
NMF;Q1;2;1;7;Update;Memory;82927616
NMF;Q1;2;1;7;Update;Elements;404236|167197|723178
NMF;Q1;2;1;8;Update;Time;2579700
NMF;Q1;2;1;8;Update;Memory;82927616
NMF;Q1;2;1;8;Update;Elements;404236|167197|723178
NMF;Q1;2;1;9;Update;Time;2694500
NMF;Q1;2;1;9;Update;Memory;82927616
NMF;Q1;2;1;9;Update;Elements;404236|167197|723178
NMF;Q1;2;1;10;Update;Time;3069300
NMF;Q1;2;1;10;Update;Memory;82927616
NMF;Q1;2;1;10;Update;Elements;404236|167197|723178
